gene	p_val	auc	avg_log2FC	pct.1	pct.2	p_val_adj
FRMD4B	0.038272518	0.581521739	0.935869663	0.261	0.1	1
NDUFS4	0.038318096	0.414347826	-0.864598874	0.109	0.28	1
NHSL1	0.038328305	0.406956522	-0.921525942	0.152	0.34	1
MBNL2	0.038509389	0.393043478	-1.00698643	0.304	0.5	1
KPNA3	0.038543086	0.393913043	-0.515133334	0.304	0.54	1
UBN2	0.038559933	0.598913043	0.740880644	0.413	0.22	1
FLI1	0.038662026	0.388695652	-0.700940277	0.391	0.6	1
PIAS2	0.038858013	0.402173913	-0.655665492	0.196	0.4	1
WSB1	0.039046991	0.381304348	-0.555471204	0.696	0.88	1
ARHGEF11	0.039141361	0.611086957	0.835202907	0.565	0.42	1
PPP6R3	0.039302443	0.384782609	-0.499538727	0.609	0.76	1
SIL1	0.039309835	0.610434783	0.675094764	0.587	0.4	1
LOC114089654	0.039910108	0.411956522	-0.924793656	0.13	0.3	1
SLC8A1	0.040123511	0.392826087	-0.956521363	0.304	0.5	1
PTPRB	0.040213077	0.38173913	-0.552744034	0.565	0.78	1
CLTA	0.040547928	0.412608696	-0.933145025	0.13	0.3	1
CDK6	0.040976773	0.605	0.823901231	0.5	0.28	1
RPS16	0.041253688	0.583913043	0.953644364	0.283	0.12	1
ITPR3	0.041253688	0.583913043	0.953644364	0.283	0.12	1
mikado.WCK01-AAH20201022-F8-rsc01100G3	0.041258504	0.389130435	-0.49883487	0.435	0.66	1
PRKG1	0.041270714	0.381521739	-0.777543114	0.609	0.78	1
SYNJ2	0.041566077	0.596304348	0.759891991	0.391	0.2	1
TIA1	0.041689988	0.40173913	-0.916231642	0.217	0.4	1
CXADR	0.041783504	0.416304348	-0.795641501	0.109	0.28	1
ZEB1	0.041854974	0.615	0.599820459	0.63	0.5	1
FAM20B	0.041997015	0.580434783	0.851477475	0.261	0.1	1
NBAS	0.042115735	0.605869565	0.546827372	0.587	0.38	1
NEMF	0.042408623	0.408913043	-0.75802721	0.152	0.34	1
SEC24A	0.042712102	0.607826087	0.569741764	0.565	0.34	1
ZNF407	0.042905428	0.61173913	0.616527816	0.652	0.46	1
PHF3	0.043309313	0.409782609	-0.683785556	0.152	0.34	1
MKLN1	0.043404565	0.393478261	-0.640918907	0.348	0.56	1
SOCS5	0.043550246	0.59173913	1.046293652	0.348	0.18	1
DDX42	0.043615053	0.396956522	-0.749937891	0.304	0.48	1
TRA2A	0.04369959	0.390217391	-0.364064326	0.543	0.76	1
ADAM10	0.04408772	0.391304348	-0.541709303	0.478	0.64	1
ZRANB1	0.044288913	0.417391304	-0.72164092	0.109	0.28	1
GGCX	0.044288913	0.417391304	-0.72164092	0.109	0.28	1
COL4A2	0.044337662	0.392173913	-0.707819249	0.348	0.56	1
UGGT2	0.044513396	0.592826087	0.819427754	0.37	0.18	1
IQGAP2	0.044568229	0.418913043	-1.140233317	0.109	0.26	1
CMTM7	0.04495205	0.411521739	-0.928615367	0.152	0.32	1
PBX1	0.044981542	0.407826087	-0.655665492	0.174	0.36	1
PHF14	0.044981542	0.407826087	-0.560087832	0.174	0.36	1
REV1	0.04511451	0.578913043	0.798366139	0.261	0.1	1
TRAPPC8	0.045292196	0.602608696	0.596322363	0.522	0.32	1
NRF1	0.045292196	0.602608696	0.596322363	0.522	0.32	1
HTR2B	0.045481208	0.58826087	1.040440926	0.326	0.16	1
IRF2	0.045607971	0.594347826	0.710903298	0.391	0.2	1
ZRANB2	0.045701862	0.400217391	-0.649092838	0.261	0.46	1
E2F3	0.045819988	0.585217391	0.96829114	0.304	0.14	1
SMARCA4	0.045981088	0.401956522	-0.633949352	0.239	0.44	1
GALNT18	0.046045475	0.408695652	-0.7245867	0.152	0.36	1
CAAP1	0.046619719	0.397391304	-0.685058335	0.304	0.5	1
DCLK2	0.047754932	0.395217391	-0.844081857	0.348	0.52	1
NUMA1	0.047945667	0.589782609	0.873654266	0.348	0.18	1
BPTF	0.048000118	0.605	0.545600068	0.609	0.42	1
NAMPT	0.04821514	0.581304348	0.899904165	0.283	0.12	1
DOCK4	0.048451192	0.390217391	-0.456563217	0.565	0.8	1
HP;HPR	0.048598527	0.415217391	-0.795641501	0.13	0.3	1
MED14	0.048598527	0.415217391	-0.795641501	0.13	0.3	1
WASL	0.048598527	0.415217391	-0.795641501	0.13	0.3	1
REL	0.048621743	0.577826087	0.712636265	0.261	0.1	1
MYOF	0.048765122	0.601521739	0.520832163	0.5	0.28	1
RAPGEF5	0.049103814	0.386956522	-0.913767602	0.587	0.68	1
Sptssa	0.04926891	0.616521739	0.260488774	1	1	1
ANKRD10	0.049296399	0.581304348	0.798366139	0.283	0.12	1
RPS5	0.049296399	0.581304348	0.798366139	0.283	0.12	1
PTTG1IP	0.049296399	0.581304348	0.798366139	0.283	0.12	1
ZC3H7B	0.049558943	0.583695652	0.828113482	0.304	0.14	1
TANGO6	0.049623828	0.586521739	0.918105383	0.326	0.16	1
FCHSD2	0.049625004	0.602826087	0.425639444	0.543	0.34	1
DLGAP4	0.049815324	0.400869565	-0.61667136	0.283	0.48	1
FTL	0.050283176	0.421086957	-1.201633861	0.109	0.26	1
ELMO1	0.050342923	0.392826087	-0.467445352	0.522	0.7	1
CCNY-1	0.050650849	0.389565217	-0.43726211	0.674	0.76	1
FMNL2	0.050653588	0.389347826	-0.835984389	0.478	0.66	1
PDLIM5	0.05068288	0.609130435	0.516759627	0.674	0.52	1
UVRAG	0.051192118	0.606956522	0.595379117	0.696	0.62	1
MUC4	0.051299994	0.597826087	1.188136879	0.413	0.28	1
TOX3	0.051541078	0.58326087	0.811190179	0.304	0.14	1
MTSS1	0.051692239	0.398043478	-0.793549123	0.304	0.5	1
mikado.WCK01-AAH20201022-F8-rsc00263G78	0.051873506	0.588478261	0.891475543	0.348	0.18	1
SPTLC1	0.052274668	0.417173913	-0.735970289	0.13	0.3	1
ATG13	0.053334135	0.422173913	-0.938599455	0.109	0.26	1
SECISBP2L	0.053334135	0.422173913	-0.938599455	0.109	0.26	1
SEMA6A	0.054058166	0.603913043	0.736965594	0.63	0.44	1
ANO5	0.054375025	0.585	0.811190179	0.326	0.16	1
GAB2	0.054502491	0.397391304	-0.669913382	0.37	0.54	1
UBB	0.054861966	0.597173913	0.947229525	0.457	0.26	1
G3BP1	0.055112846	0.603478261	0.509505746	0.63	0.44	1
PDCD11	0.055135925	0.401521739	-0.656199725	0.283	0.48	1
HUWE1	0.055424864	0.404565217	-0.742202243	0.261	0.44	1
DENND6A	0.055461037	0.596086957	0.733825887	0.457	0.28	1
NPAS3	0.055946055	0.605217391	0.595379117	0.63	0.46	1
RBM27	0.055971027	0.582173913	0.752562449	0.304	0.14	1
BCAR1	0.055971027	0.582173913	0.752562449	0.304	0.14	1
SUGT1	0.056512701	0.42326087	-0.864598874	0.109	0.26	1
GPAT4	0.056512701	0.42326087	-0.864598874	0.109	0.26	1
LEMD3	0.056512701	0.42326087	-0.864598874	0.109	0.26	1
CHD8	0.056635129	0.408478261	-0.723586564	0.217	0.4	1
CFLAR	0.056727312	0.589130435	0.870774634	0.37	0.2	1
SPAG9	0.057173823	0.606956522	0.354999916	0.826	0.74	1
UBA2	0.057790855	0.585869565	0.745898719	0.348	0.18	1
BORCS5-1	0.057790855	0.585869565	0.745898719	0.348	0.18	1
ANKHD1-EIF4EBP3;ANKHD1	0.057817072	0.396956522	-0.588102208	0.522	0.64	1
SULT2A1-2	0.05793544	0.413695652	-0.814610738	0.174	0.34	1
MAPKAP1	0.058084561	0.602608696	0.509505746	0.609	0.4	1
WAC	0.058345955	0.600434783	0.559178475	0.565	0.38	1
PPFIBP1-1	0.058479422	0.604347826	0.515357033	0.696	0.54	1
PATJ	0.058546162	0.598913043	0.559178475	0.543	0.32	1
BTNL9	0.058593116	0.423695652	-0.933145025	0.109	0.26	1
SEC24B	0.058786119	0.580652174	0.712636265	0.304	0.14	1
AKAP13	0.058990174	0.609130435	0.479543955	0.87	0.84	1
LARP1-1	0.059217562	0.58326087	0.745898719	0.326	0.16	1
NEK6	0.059291758	0.416086957	-0.735970289	0.152	0.32	1
CD300LG	0.059325292	0.423913043	-0.866030829	0.109	0.26	1
ANKRD44	0.059829076	0.407608696	-1.013188772	0.239	0.4	1
TRAF3IP2	0.060143169	0.587608696	0.740880644	0.37	0.2	1
SKIL	0.060143169	0.587608696	0.740880644	0.37	0.2	1
PAM	0.060718723	0.605434783	0.651817475	0.674	0.56	1
B4GALT5	0.06073542	0.596956522	0.648031866	0.522	0.32	1
SH3RF3	0.061483423	0.609565217	0.412357688	0.891	0.88	1
ADGRF5	0.061486532	0.397391304	-0.264218399	0.413	0.6	1
GNA12	0.061501856	0.592173913	0.807826468	0.413	0.26	1
ZMYM2	0.061662055	0.424347826	-0.786596362	0.109	0.26	1
NOVA2	0.061662055	0.424347826	-0.786596362	0.109	0.26	1
TNFRSF21	0.061662055	0.424347826	-0.786596362	0.109	0.26	1
COX10	0.061662055	0.424347826	-0.786596362	0.109	0.26	1
PPP3CC	0.061662055	0.424347826	-0.786596362	0.109	0.26	1
mikado.WCK01-AAH20201022-F8-rsc00005G109	0.061866765	0.407826087	-0.633949352	0.261	0.44	1
WDR33	0.061934133	0.399565217	-0.451612114	0.457	0.66	1
TEAD4	0.062089923	0.60173913	0.479087622	0.63	0.42	1
CRK	0.062488707	0.590434783	0.736965594	0.413	0.24	1
NPEPPS	0.062998778	0.402608696	-0.528444177	0.326	0.54	1
BIRC2	0.063102549	0.41326087	-0.966005613	0.196	0.36	1
PTPN13	0.063128464	0.590217391	0.683723573	0.413	0.24	1
SPIRE1	0.063128464	0.590217391	0.683723573	0.413	0.24	1
ST3GAL3	0.063310326	0.597391304	0.490243843	0.565	0.36	1
USP42	0.063402458	0.579130435	0.637085232	0.304	0.14	1
NAALADL2	0.064212524	0.399130435	-0.77029455	0.391	0.58	1
PPIP5K2	0.064299529	0.579130435	0.677511744	0.304	0.14	1
SLC28A3	0.064390191	0.608478261	0.286840557	0.913	0.8	1
MORF4L1-3	0.064700739	0.589130435	0.710903298	0.413	0.24	1
DDX1	0.064891607	0.422608696	-0.866030829	0.13	0.28	1
LMO4	0.065173963	0.402391304	-0.676542816	0.37	0.52	1
LRCH1	0.065900901	0.596086957	0.635935674	0.5	0.32	1
USP9X	0.066160026	0.404130435	-0.528444177	0.326	0.52	1
SBF2	0.06642622	0.39673913	-0.434193309	0.717	0.86	1
TDRD3	0.067325016	0.583913043	0.677511744	0.348	0.18	1
THOC2	0.067333683	0.407826087	-0.61667136	0.283	0.46	1
CMIP	0.068155028	0.58673913	0.710903298	0.391	0.22	1
ZNHIT6	0.068664255	0.588695652	0.658963082	0.413	0.24	1
EIF4A2	0.068852264	0.586521739	0.653417803	0.391	0.22	1
NAP1L1	0.068893946	0.579130435	0.918105383	0.304	0.16	1
PPP2R5C	0.069228749	0.423913043	-0.795641501	0.13	0.28	1
UXS1	0.069228749	0.423913043	-0.795641501	0.13	0.28	1
UBE2E2	0.069275726	0.604565217	0.403959972	0.826	0.84	1
GLS	0.069297216	0.396956522	-0.483240373	0.696	0.8	1
KPNA1	0.06968363	0.415869565	-0.699133521	0.196	0.36	1
CCT6A	0.070367036	0.427173913	-0.643638408	0.109	0.26	1
KLF7	0.070594439	0.590217391	0.648031866	0.435	0.26	1
FOXA2	0.070650257	0.575869565	1.155918143	0.283	0.14	1
HNRNPR	0.070683024	0.413043478	-0.581481932	0.217	0.4	1
SEC23B	0.070741018	0.573043478	1.040440926	0.261	0.12	1
MYCBP2	0.070889411	0.600869565	0.462945808	0.761	0.6	1
CNOT6	0.071166376	0.414347826	-0.71224902	0.217	0.38	1
RSRP1	0.071336408	0.580869565	0.873654266	0.326	0.18	1
INPP5F	0.072546647	0.41826087	-0.766696804	0.174	0.34	1
NLRC5	0.073642334	0.594130435	0.519212068	0.543	0.34	1
GBE1	0.073676495	0.406304348	-0.707819249	0.304	0.5	1
ACACB	0.074117667	0.427826087	-0.747915894	0.109	0.26	1
YBX3	0.074577687	0.593043478	0.425639444	0.522	0.34	1
MTHFD1L	0.075119714	0.603478261	0.485208254	0.761	0.72	1
FRMD6	0.075214384	0.40173913	-0.578197213	0.413	0.62	1
NF1	0.075278749	0.6	0.366355561	0.783	0.72	1
ANXA5	0.07592013	0.592608696	0.490243843	0.522	0.34	1
PDZRN3	0.076218801	0.423043478	-0.803084485	0.152	0.3	1
ATF2-1	0.07640558	0.425217391	-0.72164092	0.13	0.28	1
DIAPH2	0.076425974	0.589130435	0.790504021	0.435	0.28	1
GALNT1	0.076861217	0.595434783	0.522156344	0.609	0.46	1
DST	0.077800457	0.406956522	-0.593951284	0.326	0.52	1
ZNF326	0.078103125	0.578913043	0.873654266	0.326	0.18	1
SKAP2	0.080602778	0.42173913	-0.868210127	0.174	0.32	1
FAM162A	0.080604588	0.42173913	-0.924793656	0.174	0.32	1
DDX21	0.080611382	0.404565217	-0.453172628	0.522	0.68	1
THBS1	0.080782824	0.578478261	0.43467552	0.326	0.18	1
CEP83	0.081347102	0.575652174	0.784426948	0.304	0.16	1
NSUN6	0.081507764	0.426956522	-0.665580961	0.13	0.28	1
RHOA-1	0.08195221	0.570434783	0.713973952	0.261	0.12	1
CSNK2A2	0.082064191	0.572826087	0.752562449	0.283	0.14	1
FKBP8	0.082064191	0.572826087	0.752562449	0.283	0.14	1
UMPS	0.082064191	0.572826087	0.752562449	0.283	0.14	1
CSGALNACT1	0.082064191	0.572826087	0.752562449	0.283	0.14	1
MMP7	0.082161165	0.57826087	0.798366139	0.326	0.18	1
DUSP5	0.082175043	0.582173913	0.736965594	0.37	0.22	1
AZIN1	0.082348309	0.59	0.63024338	0.5	0.32	1
AFF1	0.083240267	0.589782609	0.401707169	0.522	0.32	1
HSP90B1	0.083286221	0.428478261	-1.201633861	0.13	0.26	1
RNGTT	0.08345465	0.591304348	0.425639444	0.565	0.38	1
CASK	0.084429506	0.413695652	-0.586924017	0.261	0.44	1
MYCT1	0.085036144	0.419130435	-1.644152097	0.217	0.34	1
Cep170	0.085689028	0.409347826	-0.507046869	0.391	0.54	1
CLTC	0.0859006	0.59173913	0.446064395	0.565	0.38	1
TUT4	0.086287188	0.407391304	-0.714187866	0.478	0.6	1
SNAP29	0.086409411	0.41673913	-0.633949352	0.239	0.4	1
mikado.WCK01-AAH20201022-F8-rsc00098G498	0.086731767	0.401521739	-0.458965908	0.739	0.84	1
ATP11B	0.087071094	0.414130435	-0.947877269	0.283	0.44	1
GLMN	0.087151966	0.423478261	-0.747915894	0.174	0.32	1
GTDC1	0.088352471	0.57826087	0.711654506	0.348	0.2	1
MAP2K3	0.088413406	0.571521739	0.712636265	0.283	0.14	1
NSF	0.088413406	0.571521739	0.712636265	0.283	0.14	1
CHD9	0.088502872	0.408043478	-0.515742452	0.5	0.62	1
BAZ2B	0.088747154	0.411521739	-0.411087227	0.304	0.5	1
AVL9	0.089504389	0.414782609	-0.61667136	0.283	0.44	1
AIMP1	0.089742671	0.421956522	-0.814610738	0.196	0.34	1
CLK4-1	0.089948644	0.426304348	-0.683785556	0.152	0.3	1
PIK3C2A	0.08998887	0.582608696	0.88582898	0.391	0.26	1
DENND4A	0.090221362	0.582173913	0.731251943	0.391	0.24	1
RERE	0.090685117	0.59673913	0.299805284	0.891	0.84	1
LDLRAD4	0.090738464	0.587826087	0.691450935	0.478	0.32	1
USP25	0.091880152	0.593043478	0.426830278	0.761	0.68	1
SLC39A14	0.091910684	0.422173913	-0.823122238	0.196	0.34	1
GNE	0.092001759	0.567826087	0.588443069	0.261	0.12	1
PPP3R1	0.092001759	0.567826087	0.588443069	0.261	0.12	1
JARID2	0.092336613	0.412826087	-0.844081857	0.326	0.46	1
TNRC6A	0.092545267	0.416956522	-0.649092838	0.261	0.42	1
PECAM1	0.092733133	0.40673913	-0.592824618	0.457	0.62	1
PCF11	0.093142706	0.575	0.677511744	0.326	0.18	1
EXOC4	0.093416011	0.406086957	-0.484642967	0.717	0.82	1
EHBP1	0.093999521	0.409565217	-0.707819249	0.435	0.56	1
LYVE1	0.094181078	0.415652174	-0.493814613	0.283	0.46	1
WWP1	0.09521032	0.418695652	-0.600183238	0.239	0.4	1
ANGEL2	0.095260496	0.431304348	-0.866030829	0.13	0.26	1
RB1	0.095579486	0.420869565	-0.47045062	0.217	0.38	1
mikado.WCK01-AAH20201022-F8-rsc00098G443	0.096138563	0.418695652	-0.706869169	0.239	0.4	1
SERPINE1	0.096526537	0.580217391	1.003056558	0.37	0.24	1
TAX1BP1	0.096753663	0.583695652	0.615502082	0.457	0.3	1
CELF1	0.096947679	0.59	0.48868164	0.587	0.42	1
KIF16B	0.097011988	0.576086957	0.646363045	0.348	0.2	1
Adam5	0.097059179	0.408913043	-0.529688059	0.609	0.7	1
DLG1	0.09720389	0.407391304	-0.498026864	0.565	0.76	1
FRYL	0.097880075	0.590217391	0.483730537	0.696	0.5	1
NKTR	0.09872671	0.580869565	0.605721061	0.413	0.26	1
ARID1B	0.100659806	0.591086957	0.430634354	0.674	0.54	1
LRRFIP2	0.100876497	0.418695652	-0.61667136	0.261	0.42	1
GPR89A;GPR89B	0.101194885	0.423695652	-0.501194143	0.196	0.36	1
METTL16	0.101408488	0.416521739	-0.469329644	0.304	0.48	1
XPO6	0.101851556	0.57826087	0.593546347	0.391	0.24	1
SUPT3H	0.101887541	0.416521739	-0.602596175	0.304	0.46	1
KDR	0.102413318	0.410217391	-0.39111166	0.37	0.6	1
SRSF11	0.102574224	0.410434783	-0.453172628	0.5	0.66	1
CCNL1	0.102857037	0.413043478	-0.57261618	0.435	0.58	1
NFX1	0.103020127	0.426956522	-0.637732976	0.174	0.32	1
METAP1	0.103191048	0.429347826	-0.546282033	0.152	0.3	1
FAM171A1	0.103486081	0.420434783	-0.586924017	0.239	0.4	1
RALY	0.103630159	0.58	0.68589141	0.413	0.26	1
ST6GAL1	0.105463901	0.581956522	0.623532337	0.457	0.3	1
STAB2	0.105585712	0.410217391	-0.382026678	0.391	0.6	1
ST13;LOC107986532	0.10593877	0.425869565	-0.637732976	0.196	0.34	1
NR2C1	0.10593877	0.425869565	-0.637732976	0.196	0.34	1
WDR43	0.106007141	0.412391304	-0.332878394	0.457	0.64	1
PPP1R14B	0.107831789	0.433913043	-0.72164092	0.13	0.26	1
PSMA6	0.107831789	0.433913043	-0.72164092	0.13	0.26	1
TNFAIP3	0.108562063	0.57	0.653417803	0.304	0.16	1
SEPTIN11	0.10876457	0.586521739	0.427722759	0.609	0.42	1
APOC2	0.1087932	0.42173913	-0.61667136	0.239	0.4	1
EEA1	0.109147433	0.576956522	0.570955643	0.391	0.24	1
FBXW2	0.10916078	0.431521739	-0.987509056	0.152	0.28	1
CFDP1	0.109163294	0.58	0.498805857	0.435	0.28	1
NAV1	0.109456422	0.409347826	-0.505640048	0.609	0.7	1
GRAMD2B	0.109683447	0.582826087	0.652515272	0.478	0.32	1
FAM13A	0.109903729	0.430434783	0.33893452	0.152	0.3	1
MET	0.109998985	0.415217391	-0.953706348	0.37	0.48	1
PGM5	0.110026784	0.434130435	-0.735970289	0.13	0.26	1
PSME2	0.111192547	0.573478261	0.593546347	0.348	0.2	1
ERP44	0.112154164	0.573913043	0.57797607	0.348	0.2	1
MYO9B	0.112634947	0.427608696	-0.287363735	0.174	0.34	1
RCAN1	0.113315337	0.57	0.811190179	0.304	0.18	1
CEPT1	0.11340621	0.422608696	-0.633949352	0.261	0.4	1
FAM172A	0.114278649	0.419565217	-0.602596175	0.304	0.46	1
ANXA1	0.114509514	0.565	0.828113482	0.261	0.14	1
YES1	0.114721968	0.57173913	0.833990049	0.326	0.2	1
MCL1	0.114760656	0.42	-0.559527453	0.304	0.44	1
SLIT3	0.114961192	0.567608696	0.548387886	0.283	0.16	1
FOXP1	0.115527074	0.424130435	-0.633949352	0.239	0.38	1
KCNN3	0.116334635	0.432608696	-0.918699898	0.152	0.28	1
STX6	0.116411611	0.570434783	0.553253641	0.326	0.18	1
MAML2	0.116576625	0.575652174	0.550438625	0.391	0.24	1
MCPH1	0.116877742	0.433043478	-0.803084485	0.152	0.28	1
mikado.WCK01-AAH20201022-F8-rsc00006G215	0.117480676	0.435217391	-0.643638408	0.13	0.26	1
LMBRD1	0.117480676	0.435217391	-0.643638408	0.13	0.26	1
DCAF17	0.117480676	0.435217391	-0.643638408	0.13	0.26	1
KIAA2026	0.117480676	0.435217391	-0.643638408	0.13	0.26	1
MIA2	0.117480676	0.435217391	-0.643638408	0.13	0.26	1
CAP1	0.117535202	0.565652174	0.450442835	0.283	0.14	1
PAK1IP1	0.117535202	0.565652174	0.450442835	0.283	0.14	1
RGS6	0.118919237	0.414782609	-0.561176248	0.391	0.54	1
UBE2R2	0.119294098	0.415434783	-0.421415069	0.457	0.6	1
CTTNBP2NL	0.119541879	0.575869565	0.658963082	0.391	0.26	1
SDCBP	0.120234065	0.586304348	0.438190575	0.674	0.54	1
DAZAP1	0.121460055	0.575652174	0.53108226	0.391	0.24	1
RFX7	0.122149151	0.43173913	-0.868210127	0.174	0.3	1
ALS2	0.122151448	0.43173913	-0.747915894	0.174	0.3	1
EHD3	0.122452165	0.42673913	-0.649092838	0.217	0.36	1
MIER1	0.122806574	0.420217391	-0.429044357	0.304	0.48	1
ZCCHC7	0.122842624	0.414565217	-0.359175138	0.522	0.72	1
GATAD2A	0.123112292	0.575217391	0.492953131	0.413	0.26	1
TNFRSF10C;TNFRSF10D;TNFRSF10B;TNFRSF10A	0.12335225	0.584347826	0.300866479	0.63	0.42	1
TIAM1	0.123355482	0.423913043	-0.520456045	0.261	0.42	1
TIAL1	0.124206414	0.43673913	-0.591580379	0.13	0.26	1
HECTD4	0.124206414	0.43673913	-0.591580379	0.13	0.26	1
RNF130	0.124454384	0.421304348	-0.644416351	0.326	0.46	1
TLE1	0.124464429	0.58	0.546827372	0.5	0.36	1
Gm884;Lrrc37a	0.124566871	0.570434783	0.484866666	0.348	0.2	1
mikado.WCK01-AAH20201022-F8-rsc00006G556	0.124572355	0.427826087	-0.756849018	0.217	0.34	1
IFRD1	0.124842223	0.42673913	-0.442641961	0.217	0.38	1
POLR3B	0.124985209	0.434565217	-0.665580961	0.152	0.28	1
RBM6	0.125181187	0.417608696	-0.41844525	0.435	0.6	1
TARS1	0.125324161	0.578695652	0.470791481	0.478	0.32	1
IQGAP1	0.125715185	0.580434783	0.478106864	0.522	0.36	1
RPS20	0.126245671	0.574130435	0.736965594	0.391	0.26	1
FAM13B	0.126770244	0.422608696	-0.304727354	0.304	0.48	1
FBXL17	0.127331764	0.583478261	0.627831762	0.565	0.48	1
TJP2	0.127543556	0.417173913	-0.529208519	0.457	0.58	1
CUX1	0.128332888	0.581521739	0.303360335	0.674	0.46	1
WNK1	0.128333609	0.417173913	-0.376467663	0.435	0.6	1
SNTB2	0.128512543	0.423695652	-0.353636955	0.283	0.44	1
ANGPT2	0.128827655	0.562608696	0.784426948	0.261	0.14	1
IGF1R	0.128969785	0.413478261	-0.342377837	0.652	0.78	1
TCEA1	0.129054996	0.567173913	0.774118593	0.304	0.18	1
MSRA	0.129054996	0.567173913	0.774118593	0.304	0.18	1
ZNF438	0.129127065	0.420869565	-0.544521575	0.326	0.48	1
RPF2	0.129719142	0.421086957	-0.528444177	0.348	0.48	1
RAP2B	0.130302285	0.433043478	-0.75802721	0.174	0.3	1
DAPK2	0.131491575	0.433478261	-0.683785556	0.174	0.3	1
ANKRD42	0.131763801	0.561956522	0.672835257	0.261	0.14	1
SRGAP2	0.132124376	0.578043478	0.690383458	0.478	0.34	1
ST3GAL4	0.132699462	0.568478261	0.681009188	0.326	0.2	1
SWT1-1	0.132699462	0.568478261	0.681009188	0.326	0.2	1
SCAF4	0.1329869	0.569130435	0.4657908	0.348	0.2	1
ERC1	0.13349937	0.585	0.283077166	0.87	0.82	1
SLC38A2-1	0.133548314	0.420869565	-0.415037499	0.37	0.52	1
MFHAS1	0.134040814	0.566086957	0.745898719	0.304	0.18	1
ADAM18	0.134292882	0.567391304	0.891475543	0.304	0.2	1
TRAF3	0.134523492	0.581304348	0.48868164	0.587	0.46	1
FILIP1L	0.135387678	0.581521739	0.619395998	0.717	0.66	1
PLEKHG1	0.135678285	0.427391304	-0.870988549	0.261	0.38	1
CNBP	0.135845741	0.428913043	-0.386058432	0.217	0.38	1
SSB	0.137435282	0.436086957	-0.591580379	0.152	0.28	1
SRSF10	0.138140761	0.427826087	-0.527034148	0.261	0.4	1
PELI2	0.138912222	0.564565217	0.38332864	0.304	0.16	1
EGFL7	0.139175451	0.418913043	-0.642206453	0.457	0.56	1
SPECC1	0.13946453	0.575	0.435796059	0.435	0.3	1
HIP1	0.139506964	0.573043478	0.75477687	0.391	0.28	1
SRRM2	0.139676461	0.579347826	0.357097098	0.696	0.54	1
PLAUR	0.139999828	0.578913043	0.599266039	0.543	0.4	1
BCL3	0.140218495	0.434782609	-0.699133521	0.174	0.3	1
LMBR1	0.140218495	0.565217391	0.711654506	0.304	0.18	1
RPL28-1	0.140526125	0.57	0.593546347	0.37	0.24	1
UBE2E1	0.141350023	0.435217391	-0.61667136	0.174	0.3	1
VPS8	0.141350023	0.435217391	-0.61667136	0.174	0.3	1
FAF2	0.141350023	0.435217391	-0.61667136	0.174	0.3	1
RARRES2	0.141559386	0.435	-0.637732976	0.174	0.3	1
EIF5B	0.141858299	0.578913043	0.390823176	0.565	0.4	1
NUP98	0.141900545	0.420652174	-0.421415069	0.5	0.62	1
NCOA7	0.142438597	0.577826087	0.675094764	0.522	0.4	1
mikado.WCK01-AAH20201022-F8-rsc00083G1258	0.143345507	0.422608696	-0.450661409	0.348	0.5	1
TBC1D5	0.14363761	0.580217391	0.483730537	0.587	0.46	1
ABCB7	0.144082358	0.437608696	-0.546282033	0.152	0.28	1
RTN3	0.144284693	0.560434783	0.588443069	0.261	0.14	1
DSTN	0.144533287	0.562391304	0.745898719	0.283	0.16	1
SLC2A13	0.14499804	0.566304348	0.618545101	0.326	0.2	1
AP3B1	0.145164992	0.426086957	-0.559527453	0.304	0.44	1
TBC1D1	0.145413124	0.564130435	0.605721061	0.304	0.18	1
SLC35F5	0.145413124	0.564130435	0.605721061	0.304	0.18	1
RAP1GDS1	0.145489767	0.437826087	-0.436099115	0.152	0.28	1
PKN2	0.14592945	0.423043478	-0.48703608	0.391	0.54	1
FNDC1	0.14694843	0.432173913	-0.684575425	0.217	0.34	1
PPME1	0.147099977	0.570434783	0.605721061	0.391	0.26	1
MARK2	0.147362154	0.561956522	0.605721061	0.283	0.16	1
ZFP36L2	0.147384173	0.559782609	0.605721061	0.261	0.14	1
BIRC6	0.147412399	0.42	-0.25261779	0.783	0.84	1
VGLL4	0.14822139	0.560869565	1.097926421	0.261	0.16	1
VEZT	0.148405804	0.569347826	0.584962501	0.37	0.24	1
Gm1110	0.149184322	0.426086957	-0.468279521	0.283	0.46	1
mikado.WCK01-AAH20201022-F8-rsc00089G342	0.149198491	0.563043478	1.007819504	0.283	0.18	1
RUFY1	0.149321301	0.559347826	0.557358039	0.261	0.14	1
MAP7	0.149919802	0.565217391	0.57797607	0.326	0.2	1
RHBDF2	0.149919802	0.565217391	0.57797607	0.326	0.2	1
ATF7;ATF7-NPFF	0.15013575	0.574347826	0.363963315	0.522	0.36	1
RASAL2	0.150814851	0.417826087	-0.505163045	0.804	0.86	1
PPP2CB;PPP2CA	0.151647392	0.425	-0.346582197	0.37	0.54	1
SND1	0.15234995	0.578913043	0.393745255	0.696	0.66	1
COP1	0.152566992	0.426521739	-0.602596175	0.348	0.46	1
SEC63	0.155143063	0.567391304	0.53108226	0.37	0.24	1
AGO3;AGO1	0.156147631	0.577173913	0.345853934	0.674	0.56	1
FAT1	0.156714055	0.577608696	0.417275971	0.565	0.44	1
